person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,Risk Score,Risk Category
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.03,Low Risk
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,16.18,Low Risk
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,99.13,High Risk
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,98.95,High Risk
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,99.34,High Risk
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,96.56,High Risk
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,98.74,High Risk
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,15.54,Low Risk
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.03,Low Risk
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.33,Low Risk
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.02,Low Risk
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.79,Low Risk
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,1.34,Low Risk
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,64.03,High Risk
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,86.97,High Risk
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,62.45,High Risk
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,96.43,High Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,98.39,High Risk
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,79.05,High Risk
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,41.15,Medium Risk
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,33.46,Medium Risk
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.2,Low Risk
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.11,Low Risk
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.22,Low Risk
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,28.66,Low Risk
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,35.21,Medium Risk
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,13.8,Low Risk
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.01,Low Risk
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.05,Low Risk
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,13.24,Low Risk
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,97.68,High Risk
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,89.99,High Risk
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.28,Low Risk
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,5.68,Low Risk
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.05,Low Risk
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,1.15,Low Risk
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,18.32,Low Risk
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,90.67,High Risk
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,29.01,Low Risk
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,70.2,High Risk
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,39.5,Medium Risk
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,20.43,Low Risk
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,41.38,Medium Risk
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,34.73,Medium Risk
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,30.73,Medium Risk
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,94.52,High Risk
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.48,Low Risk
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,68.95,High Risk
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,39.3,Medium Risk
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,37.93,Medium Risk
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,42.43,Medium Risk
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,25.66,Low Risk
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,91.3,High Risk
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,95.18,High Risk
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,77.29,High Risk
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.17,Low Risk
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,94.96,High Risk
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,71.08,High Risk
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,85.66,High Risk
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,81.35,High Risk
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,33.43,Medium Risk
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,24.63,Low Risk
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,62.28,High Risk
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.89,Low Risk
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.21,Low Risk
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,1.38,Low Risk
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,5.7,Low Risk
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,1.23,Low Risk
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,2.88,Low Risk
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,54.77,Medium Risk
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,28.43,Low Risk
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,20.49,Low Risk
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,87.58,High Risk
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,98.67,High Risk
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,34.53,Medium Risk
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,61.41,High Risk
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,1.27,Low Risk
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,45.14,Medium Risk
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,1.95,Low Risk
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.36,Low Risk
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,64.46,High Risk
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,35.62,Medium Risk
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,99.06,High Risk
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,72.29,High Risk
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,77.67,High Risk
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,21.64,Low Risk
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,98.45,High Risk
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,79.55,High Risk
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,4.25,Low Risk
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.21,Low Risk
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.6,Low Risk
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.31,Low Risk
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,84.33,High Risk
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,85.53,High Risk
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,84.9,High Risk
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,99.05,High Risk
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,73.22,High Risk
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,66.0,High Risk
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,70.37,High Risk
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,78.0,High Risk
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,33.03,Medium Risk
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.81,Low Risk
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,1.35,Low Risk
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,11.24,Low Risk
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,1.01,Low Risk
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,6.87,Low Risk
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.25,Low Risk
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,81.65,High Risk
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,97.86,High Risk
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,84.65,High Risk
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,99.36,High Risk
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,97.56,High Risk
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,27.06,Low Risk
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,17.35,Low Risk
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.32,Low Risk
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.37,Low Risk
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,96.04,High Risk
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,76.5,High Risk
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,98.26,High Risk
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,76.17,High Risk
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,98.1,High Risk
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,84.61,High Risk
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,84.48,High Risk
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.48,Low Risk
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,15.21,Low Risk
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,86.74,High Risk
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,72.67,High Risk
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,73.68,High Risk
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,98.74,High Risk
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,70.2,High Risk
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,1.91,Low Risk
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,1.71,Low Risk
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,1.23,Low Risk
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,99.1,High Risk
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,76.13,High Risk
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,72.82,High Risk
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,73.97,High Risk
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,78.46,High Risk
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,99.21,High Risk
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,3.22,Low Risk
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,4.02,Low Risk
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.7,Low Risk
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.91,Low Risk
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,1.3,Low Risk
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.83,Low Risk
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,59.68,Medium Risk
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,75.98,High Risk
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.47,Low Risk
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,19.54,Low Risk
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.23,Low Risk
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,2.2,Low Risk
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,1.82,Low Risk
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,95.45,High Risk
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,38.13,Medium Risk
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,97.13,High Risk
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,63.85,High Risk
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,54.04,Medium Risk
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,96.44,High Risk
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,97.68,High Risk
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.45,Low Risk
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,11.68,Low Risk
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.31,Low Risk
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,95.72,High Risk
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,25.76,Low Risk
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,67.34,High Risk
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,22.4,Low Risk
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,98.58,High Risk
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,95.34,High Risk
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,85.7,High Risk
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,13.13,Low Risk
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,73.2,High Risk
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,66.28,High Risk
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,70.46,High Risk
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,3.5,Low Risk
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.95,Low Risk
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,1.46,Low Risk
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.27,Low Risk
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,55.67,Medium Risk
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,97.0,High Risk
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.96,Low Risk
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.76,Low Risk
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,71.28,High Risk
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,43.54,Medium Risk
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,45.76,Medium Risk
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.11,Low Risk
24,185000,MORTGAGE,4.0,EDUCATION,B,35000,12.42,0,0.19,N,2,6.68,Low Risk
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,2.12,Low Risk
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,98.12,High Risk
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,92.98,High Risk
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,26.47,Low Risk
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,96.26,High Risk
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,60.04,High Risk
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,38.22,Medium Risk
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,45.15,Medium Risk
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,74.88,High Risk
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,7.06,Low Risk
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.12,Low Risk
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,59.5,Medium Risk
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.12,Low Risk
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,6.54,Low Risk
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,2.39,Low Risk
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,0.5,Low Risk
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.71,Low Risk
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,97.41,High Risk
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,95.09,High Risk
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,63.32,High Risk
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,64.7,High Risk
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,38.98,Medium Risk
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,53.2,Medium Risk
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,92.76,High Risk
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,42.17,Medium Risk
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,3.51,Low Risk
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,89.06,High Risk
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,17.9,Low Risk
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,93.77,High Risk
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,59.38,Medium Risk
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.79,Low Risk
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.37,Low Risk
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,26.03,Low Risk
23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4,58.05,Medium Risk
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,97.22,High Risk
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,90.13,High Risk
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,97.82,High Risk
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,97.74,High Risk
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,57.79,Medium Risk
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,44.01,Medium Risk
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.9,Low Risk
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.67,Low Risk
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,1.55,Low Risk
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.52,Low Risk
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.43,Low Risk
23,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,N,4,27.67,Low Risk
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,94.43,High Risk
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,98.2,High Risk
